category,english,french,hint
Hardware,Computer,L'ordinateur,The general device
Hardware,Keyboard,Le clavier,Input device
Hardware,Mouse,La souris,Pointing device
Hardware,Screen,L'écran,Visual display
Hardware,Hard Drive,Le disque dur,Storage component
General Tech,Software,Le logiciel,Computer programs
Actions,Download,Télécharger,Getting files from internet
UI Buttons,Save,Enregistrer,Preserving your work
UI Buttons,Cancel,Annuler,Stop an action
UI Buttons,Submit,Valider,Finalizing a form
Software,Browser,Le navigateur,"Chrome, Firefox, Safari"
Internet,Link,Le lien,Hyperlink
Authentication,Log in,Se connecter,Accessing an account
Security,Password,Le mot de passe,Secret access phrase
Web Design,Home Page,La page d'accueil,Main landing page
UI Navigation,Settings,Les paramètres,System preferences
Backend,Database,La base de données,Structured data storage
Dev Lingo,To debug,Déboguer,Fixing code errors
General Tech,Digital,Numérique,Opposite of analog
Internet,The Cloud,Le cloud,Remote servers
